Timestamp,,Age ,Gender,District,Profession / Occupation,Average Monthly Household income (in LKR),Type of Premises,Average Monthly Electricity Bill (in LKR),Average Monthly Electricity Usage (in Units),Which time period do you use electricity the most?,Which devices consume the most electricity at your premises?,Have you installed a solar power system at your premises?,In which year did you install the solar panel system?,What were your main reasons for switching to solar power?,What was your initial investment for the solar power system? (in LKR),"On a scale of 1 to 5, how satisfied are you with your solar power system?",How did your monthly electricity bill change after switching to solar?,Would you recommend solar power to others?,What are your main reasons for not switching to solar power yet?,Are you considering switching to solar power system in the future?,What would encourage you to switch to solar power system ?,Any other comments or suggestions about solar energy in Sri Lanka?
2025/09/16 7:48:40 PM GMT+5:30,,18-25,Female,Gampaha,Teacher,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;TVs,No,,,,,,,High installation cost;Lack of knowledge,Maybe in 2–3 years,More awareness campaigns,
2025/09/16 7:49:39 PM GMT+5:30,,36-50,Male,Gampaha,Businessman ,"150,000-250,000",Business,"5,001 - 10,000",121 - 180,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Desktop Computers;TVs,No,,,,,,,High installation cost;No space for solar panels,Maybe in 2–3 years,Government subsidies;Lower product prices,
2025/09/16 7:50:48 PM GMT+5:30,,18-25,Male,Gampaha,Web developer,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM),Refrigerator;Wachine Machine,No,,,,,,,Lack of knowledge,"Yes, within the next year",Lower product prices,
2025/09/16 7:51:41 PM GMT+5:30,,26-35,Female,Gampaha,Teacher,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Desktop Computers;TVs,No,,,,,,,Lack of knowledge,Maybe in 2–3 years,More awareness campaigns,
2025/09/16 7:52:42 PM GMT+5:30,,26-35,Female,Gampaha,Teacher,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;Desktop Computers;TVs,No,,,,,,,Lack of knowledge,Maybe in 2–3 years,Government subsidies;Lower product prices,
2025/09/16 7:53:44 PM GMT+5:30,,51+,Male,Colombo,Farmer,"Less than 150,000",Household,"Less than 2,000",61 - 90,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),TVs,No,,,,,,,High installation cost;Lack of knowledge,"Yes, within the next year",Lower product prices,
2025/09/16 7:54:36 PM GMT+5:30,,26-35,Male,Gampaha,Seaman ,"250,000-350,000",Household,"5,001 - 10,000",121 - 180,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator,No,,,,,,,High installation cost;Uncertainty about performance,"Yes, within the next year",Government subsidies,
2025/09/16 7:57:00 PM GMT+5:30,,26-35,Male,Colombo,Accountent,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM);Night (7 PM -11 PM),Air Condittioner;TVs,No,,,,,,,High installation cost;Uncertainty about performance,"Yes, within the next year",Government subsidies;Lower product prices,
2025/09/16 7:58:20 PM GMT+5:30,,26-35,Female,Colombo,Software engineer ,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Desktop Computers;TVs,No,,,,,,,High installation cost;Lack of knowledge,Maybe in 2–3 years,Government subsidies,
2025/09/16 7:59:30 PM GMT+5:30,,51+,Female,Gampaha,Teacher,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Water Heater;Wachine Machine;TVs,No,,,,,,,Lack of knowledge,Maybe in 2–3 years,Lower product prices,
2025/09/16 8:01:20 PM GMT+5:30,,51+,Male,Colombo,Police officer,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Wachine Machine;TVs,No,,,,,,,No space for solar panels,"Yes, within the next year",Government subsidies;Lower product prices,
2025/09/16 8:03:09 PM GMT+5:30,,26-35,Male,Gampaha,Clerk ,"Less than 150,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),Air Condittioner;Water Heater;TVs,No,,,,,,,Lack of knowledge,"Yes, within the next year",Lower product prices,
2025/09/16 8:04:30 PM GMT+5:30,,51+,Male,Gampaha,No,Prefer not to say,Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Water Heater;TVs,No,,,,,,,Lack of knowledge,No plans currently,Lower product prices,
2025/09/19 12:19:47 PM GMT+5:30,,36-50,Male,Colombo,Driver,"Less than 150,000",Household,"2,001 - 5,000",Less than 30,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;Desktop Computers;TVs,No,,,,,,,High installation cost;Lack of knowledge,No plans currently,Government subsidies;Lower product prices,
2025/09/19 3:20:50 PM GMT+5:30,,26-35,Male,Colombo,Buisnessman,"Less than 150,000",Business,"5,001 - 10,000",61 - 90,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Desktop Computers,No,,,,,,,High installation cost;Lack of knowledge;No space for solar panels,No plans currently,Government subsidies;Lower product prices;More awareness campaigns,
2025/09/19 3:23:32 PM GMT+5:30,,36-50,Male,Gampaha,Buisnessman,"250,000-350,000",Both,"5,001 - 10,000",30 - 60,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;Desktop Computers;Grinding machines,No,,,,,,,Lack of knowledge;Not a priority,No plans currently,Government subsidies;Lower product prices;More awareness campaigns,
2025/09/19 3:25:36 PM GMT+5:30,,36-50,Female,Colombo,HR Manager,"Less than 150,000",Household,"2,001 - 5,000",Less than 30,Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Wachine Machine;Desktop Computers;TVs,No,,,,,,,Lack of knowledge,Maybe in 2–3 years,Lower product prices;More awareness campaigns,
2025/09/19 3:27:07 PM GMT+5:30,,51+,Male,Colombo,Retired Teacher,"Less than 150,000",Household,"Less than 2,000",Less than 30,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;TVs,No,,,,,,,High installation cost;Lack of knowledge;Not a priority,No plans currently,Government subsidies;Lower product prices,
2025/09/19 3:29:05 PM GMT+5:30,,36-50,Male,Gampaha,Pharmacist,"150,000-250,000",Household,"2,001 - 5,000",Less than 30,Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;TVs,No,,,,,,,Lack of knowledge,No plans currently,Government subsidies;Lower product prices;More awareness campaigns,
2025/09/19 3:30:48 PM GMT+5:30,,26-35,Female,Colombo,Tailor,"Less than 150,000",Household,"Less than 2,000",Less than 30,Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;TVs,No,,,,,,,High installation cost;Lack of knowledge;Not a priority,No plans currently,Government subsidies;Lower product prices,
2025/09/19 3:31:53 PM GMT+5:30,,26-35,Male,Gampaha,Driver,"Less than 150,000",Household,"Less than 2,000",Less than 30,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;TVs,No,,,,,,,High installation cost,No plans currently,Government subsidies;Lower product prices,
2025/09/19 3:35:06 PM GMT+5:30,,36-50,Male,Gampaha,Supervisor,"Less than 150,000",Household,"2,001 - 5,000",Less than 30,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;TVs,No,,,,,,,High installation cost;Lack of knowledge,Maybe in 2–3 years,Government subsidies;Lower product prices,
2025/09/19 3:36:23 PM GMT+5:30,,36-50,Male,Colombo,Manger,"150,000-250,000",Household,"2,001 - 5,000",Less than 30,Early Morning (5 AM - 9 AM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;Desktop Computers;TVs,No,,,,,,,High installation cost;Lack of knowledge,Maybe in 2–3 years,Government subsidies;Lower product prices;Better guarantees/warranties,
2025/09/19 3:38:10 PM GMT+5:30,,26-35,Male,Colombo,Buisnessman,"150,000-250,000",Both,"2,001 - 5,000",30 - 60,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;Desktop Computers;TVs,No,,,,,,,High installation cost;Lack of knowledge;Not a priority,No plans currently,Government subsidies;Lower product prices,
2025/09/19 3:40:14 PM GMT+5:30,,36-50,Male,Colombo,Buisnessman,"150,000-250,000",Both,"5,001 - 10,000",30 - 60,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),"Refrigerator;Wachine Machine;saw,grinder,cutting machines",No,,,,,,,High installation cost;Lack of knowledge;No space for solar panels,No plans currently,Government subsidies;Lower product prices,
2025/09/19 3:42:38 PM GMT+5:30,,51+,Male,Gampaha,Hardware,"250,000-350,000",Both,"2,001 - 5,000",Less than 30,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;TVs,No,,,,,,,High installation cost;Lack of knowledge,Maybe in 2–3 years,Lower product prices,
2025/09/19 11:59:39 PM GMT+5:30,,51+,Male,Gampaha,Politician ,"150,000-250,000",Household,"2,001 - 5,000",Less than 30,Early Morning (5 AM - 9 AM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;Desktop Computers;TVs,No,,,,,,,High installation cost;Uncertainty about performance,Maybe in 2–3 years,Lower product prices;Better guarantees/warranties,
2025/09/20 12:01:44 AM GMT+5:30,,51+,Male,Gampaha,Retired Teacher,"150,000-250,000",Household,"2,001 - 5,000",Less than 30,Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;Desktop Computers;TVs,No,,,,,,,High installation cost;Not a priority,No plans currently,Lower product prices,
2025/09/20 12:03:31 AM GMT+5:30,,36-50,Female,Colombo,Teacher,"150,000-250,000",Household,"2,001 - 5,000",30 - 60,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;Microwave / Oven;Desktop Computers;TVs,No,,,,,,,High installation cost;Uncertainty about performance,Maybe in 2–3 years,Government subsidies;Lower product prices;Better guarantees/warranties,
2025/09/20 12:07:49 AM GMT+5:30,,36-50,Male,Gampaha,Businessmen,"150,000-250,000",Both,"5,001 - 10,000",30 - 60,Early Morning (5 AM - 9 AM);Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Wachine Machine;Microwave / Oven;Desktop Computers;TVs,No,,,,,,,High installation cost;Uncertainty about performance;Not a priority,Maybe in 2–3 years,Government subsidies;Lower product prices;Better guarantees/warranties,
2025/09/20 12:13:56 AM GMT+5:30,,26-35,Male,Gampaha,Software Engineer,"150,000-250,000",Household,"2,001 - 5,000",30 - 60,Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;Microwave / Oven;Desktop Computers;TVs,No,,,,,,,High installation cost;Uncertainty about performance,Maybe in 2–3 years,Government subsidies;Lower product prices,
2025/09/20 12:15:14 AM GMT+5:30,,36-50,Female,Colombo,Teacher,"150,000-250,000",Household,"Less than 2,000",30 - 60,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;Microwave / Oven;Desktop Computers;TVs,No,,,,,,,High installation cost;Uncertainty about performance;Not a priority,No plans currently,Government subsidies;Lower product prices;Better guarantees/warranties,
2025/09/20 12:16:38 AM GMT+5:30,,36-50,Male,Colombo,Army Officer,"150,000-250,000",Household,"Less than 2,000",30 - 60,Night (7 PM -11 PM),Refrigerator;Wachine Machine;Microwave / Oven;TVs,No,,,,,,,High installation cost,No plans currently,Lower product prices,
2025/09/20 12:24:37 AM GMT+5:30,,26-35,Female,Gampaha,Teacher,"Less than 150,000",Household,"2,001 - 5,000",61 - 90,Evening (3 PM - 7 PM);Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Refrigerator;Wachine Machine;TVs,No,,,,,,,High installation cost,No plans currently,Recommendations from others,
2025/09/20 12:25:09 AM GMT+5:30,,36-50,Female,Gampaha,Saloon Owner,"150,000-250,000",Both,"5,001 - 10,000",30 - 60,Daytime (9 AM - 3 PM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Air Condittioner;Refrigerator;Wachine Machine;Microwave / Oven;TVs,No,,,,,,,High installation cost;Uncertainty about performance;Not a priority,Maybe in 2–3 years,Lower product prices,
2025/09/20 12:27:55 AM GMT+5:30,,26-35,Male,Colombo,Machine operator ,"150,000-250,000",Household,"2,001 - 5,000",61 - 90,Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;Desktop Computers,No,,,,,,,No space for solar panels,No plans currently,Better guarantees/warranties,
2025/09/20 12:29:17 AM GMT+5:30,,36-50,Male,Gampaha,Mechanical engineer,"250,000-350,000",Household,"2,001 - 5,000",91 -120,Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;Microwave / Oven;Desktop Computers;TVs,No,,,,,,,No space for solar panels,No plans currently,Better guarantees/warranties,
2025/09/20 12:30:45 AM GMT+5:30,,26-35,Male,Gampaha,Mechanic ,"Less than 150,000",Household,"2,001 - 5,000",61 - 90,Daytime (9 AM - 3 PM);Night (7 PM -11 PM),Refrigerator;Wachine Machine;Desktop Computers;TVs,No,,,,,,,High installation cost,No plans currently,Recommendations from others,
2025/09/20 12:39:09 AM GMT+5:30,,51+,Male,Gampaha,Principal,"150,000-250,000",Household,"2,001 - 5,000",Less than 30,Early Morning (5 AM - 9 AM);Evening (3 PM - 7 PM);Night (7 PM -11 PM),Refrigerator;Water Heater;Wachine Machine;Desktop Computers;TVs,No,,,,,,,High installation cost;No space for solar panels;Not a priority,No plans currently,Government subsidies;Lower product prices,
2025/09/20 12:39:34 AM GMT+5:30,,36-50,Male,Gampaha,Businessman ,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine,No,,,,,,,Lack of knowledge,Maybe in 2–3 years,Better guarantees/warranties,
2025/09/20 12:40:55 AM GMT+5:30,,51+,Male,Gampaha,Lawyer,"250,000-350,000",Household,"2,001 - 5,000",91 -120,Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;Microwave / Oven;Desktop Computers;TVs,No,,,,,,,Not a priority,Maybe in 2–3 years,Better guarantees/warranties,
2025/09/20 12:42:12 AM GMT+5:30,,51+,Male,Colombo,Doctor ,"250,000-350,000",Household,"2,001 - 5,000",91 -120,Early Morning (5 AM - 9 AM);Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Air Condittioner;Refrigerator;Water Heater;Wachine Machine;Microwave / Oven;TVs,No,,,,,,,No space for solar panels,No plans currently,Recommendations from others,
2025/09/20 12:43:18 AM GMT+5:30,,51+,Male,Colombo,Driver,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Night (7 PM -11 PM);Late Night (11 PM- 5 AM),Refrigerator;Wachine Machine;TVs,No,,,,,,,Lack of knowledge,No plans currently,Recommendations from others,
2025/09/20 12:44:54 AM GMT+5:30,,51+,Male,Gampaha,Driver,"150,000-250,000",Household,"2,001 - 5,000",91 -120,Night (7 PM -11 PM),Refrigerator;TVs,No,,,,,,,Lack of knowledge,No plans currently,Better guarantees/warranties,
